user_id,snack_id,timestamp,quantity
user_1,000000000300025011_EA,2025-04-24 02:41:15,1
user_1,000000000300023267_EA,2025-04-22 17:28:15,2
user_1,000000000300028476_EA,2025-03-29 20:45:15,3
user_1,000000000300029454_EA,2025-05-04 04:43:15,1
user_1,000000000300028291_EA,2025-05-12 20:28:15,1
user_1,000000000300028092_EA,2025-04-07 13:29:15,3
user_1,000000000300026115_EA,2025-06-20 08:01:15,4
user_2,000000000300027987_EA,2025-04-05 04:31:15,2
user_2,000000000300025305_EA,2025-06-25 09:13:15,2
user_2,000000000300032290_EA,2025-05-12 18:12:15,4
user_2,09607200,2025-04-21 12:07:15,2
user_2,000000000300028019_EA,2025-06-12 21:40:15,1
user_2,09985400,2025-05-02 05:57:15,1
user_2,000000000300021247_EA,2025-04-23 22:29:15,2
user_3,000000000300030126_EA,2025-05-21 13:30:15,1
user_3,10768701XL,2025-03-09 23:27:15,4
user_3,000000000300026336_EA,2025-06-02 17:31:15,3
user_3,000000000300022142_EA,2025-06-10 08:45:15,2
user_3,61000400,2025-06-06 14:12:15,3
user_3,000000000300031450_EA,2025-03-13 01:13:15,3
user_3,000000000300027238_EA,2025-05-12 21:12:15,3
user_3,09012501,2025-06-22 03:48:15,2
user_3,000000000300031512_EA,2025-06-17 03:20:15,4
user_3,10766701XL,2025-04-22 20:09:15,3
user_3,000000000300023745_EA,2025-06-23 04:09:15,4
user_3,000000000300023913_EA,2025-04-29 01:17:15,4
user_3,000000000300021268_EA,2025-06-02 14:45:15,3
user_3,11258300,2025-04-19 14:49:15,4
user_3,11195800,2025-06-05 07:48:15,1
user_3,000000000300028102_EA,2025-04-06 23:57:15,3
user_4,000000000300030579_EA,2025-04-05 10:33:15,3
user_4,000000000300029544_EA,2025-04-21 15:37:15,1
user_4,000000000300028107_EA,2025-05-21 01:25:15,1
user_4,61001700,2025-06-22 16:04:15,1
user_4,000000000300029585_EA,2025-06-01 01:53:15,1
user_4,07312900,2025-07-06 03:07:15,2
user_4,61000500,2025-05-10 14:45:15,2
user_4,000000000300033338_EA,2025-06-25 19:48:15,1
user_4,000000000300043361_EA,2025-06-08 17:24:15,1
user_4,09213800,2025-06-20 03:25:15,4
user_4,000000000300031831_EA,2025-05-17 03:41:15,2
user_4,000000000300032526_EA,2025-06-19 03:19:15,2
user_4,61005000,2025-06-28 23:47:15,3
user_4,000000000300026252_EA,2025-03-31 15:23:15,4
user_5,000000000300036147_EA,2025-06-10 06:25:15,1
user_5,000000000300025299_PAK,2025-05-13 11:29:15,2
user_5,08437900,2025-07-03 01:11:15,2
user_5,09239500,2025-06-29 22:56:15,4
user_5,000000000300024293_EA,2025-06-27 01:39:15,2
user_5,09239600,2025-05-06 03:31:15,4
user_5,000000000300030121_EA,2025-04-12 19:18:15,3
user_6,10967600,2025-04-05 22:12:15,1
user_6,000000000300030544_EA,2025-03-25 08:11:15,1
user_6,110174000,2025-04-09 16:56:15,1
user_6,000000000300025117_EA,2025-07-03 03:18:15,3
user_6,000000000300033399_PAK,2025-04-14 13:04:15,3
user_6,000000000300019951_EA,2025-06-11 06:35:15,2
user_6,09239500,2025-05-01 15:33:15,1
user_6,000000000300029456_EA,2025-04-14 06:34:15,1
user_6,08655100,2025-03-10 14:27:15,1
user_6,000000000300020428_EA,2025-03-30 16:54:15,2
user_6,000000000300027039,2025-06-26 07:16:15,2
user_6,000000000300030562_EA,2025-05-07 05:22:15,3
user_6,000000000300029293,2025-05-25 15:29:15,3
user_6,11448701,2025-06-17 09:25:15,3
user_7,05615300,2025-03-24 09:47:15,1
user_7,07312700,2025-06-07 07:57:15,4
user_7,000000000300025068_EA,2025-04-08 09:34:15,4
user_7,08783000,2025-05-06 04:15:15,2
user_7,000000000300025960_EA,2025-05-04 22:20:15,4
user_7,000000000300029289,2025-03-30 03:54:15,3
user_7,000000000300031685_EA,2025-05-10 16:03:15,2
user_7,000000000300023742_EA,2025-05-15 08:44:15,4
user_7,000000000300029377_EA,2025-05-03 15:04:15,2
user_7,10766301XL,2025-05-30 19:54:15,4
user_7,000000000300036203_EA,2025-04-21 03:21:15,3
user_7,10768601L,2025-06-17 11:54:15,1
user_7,000000000300033411_PAK,2025-05-27 06:32:15,4
user_7,000000000300026467_EA,2025-04-30 02:12:15,1
user_8,000000000300033410_PAK,2025-04-25 13:22:15,4
user_8,09765901,2025-04-25 04:01:15,4
user_8,000000000300027183,2025-04-05 20:11:15,1
user_8,000000000300026462_EA,2025-03-11 01:39:15,2
user_8,11196200,2025-05-31 21:19:15,1
user_8,000000000300028167_EA,2025-03-29 05:28:15,2
user_8,000000000300028119_EA,2025-04-16 15:35:15,3
user_9,000000000300023297_EA,2025-06-14 21:50:15,4
user_9,000000000300020151_EA,2025-06-01 15:51:15,3
user_9,000000000300025740_EA,2025-03-26 18:41:15,3
user_9,000000000300029077_EA,2025-06-09 04:45:15,4
user_9,000000000300041418_EA,2025-07-01 14:23:15,2
user_9,000000000300026883,2025-04-06 20:53:15,2
user_9,000000000300033326_EA,2025-03-13 15:47:15,2
user_9,000000000300027303,2025-04-04 21:14:15,3
user_9,08277601,2025-03-22 01:01:15,2
user_9,000000000300024720_EA,2025-05-21 14:23:15,4
user_9,000000000300031768_EA,2025-04-06 20:36:15,1
user_9,000000000300027432_EA,2025-05-03 05:13:15,3
user_9,000000000300030551_EA,2025-03-20 08:27:15,4
user_9,000000000300029078_EA,2025-03-24 03:51:15,3
user_9,000000000300032153_EA,2025-03-21 04:30:15,1
